Tipo de Derivado;Derivados de petróleo;Ano;Produção (m3)
Energético;Gasolina A ;2009;20874989,12
Energético;Gasolina de aviação;2009;52765
Energético;GLP1;2009;10008677,03
Energético;Óleo combustível2,3;2009;14053754,98
Energético;Óleo diesel3;2009;42898666,56
Energético;QAV;2009;4380983
Energético;Querosene iluminante;2009;19707,389
Energético;Outros4;2009;174254
Não energético;Asfalto;2009;2089925,827
Não energético;Coque5;2009;3084025,42
Não energético;Nafta6;2009;8412608,029
Não energético;Óleo lubrificante ;2009;593794
Não energético;Parafina;2009;105595,6333
Não energético;Solvente;2009;461992,708
Não energético;Outros7;2009;2584594,915
Energético;Gasolina A ;2010;23067252,54
Energético;Gasolina de aviação;2010;90104
Energético;GLP1;2010;9698812,878
Energético;Óleo combustível2,3;2010;13895071,31
Energético;Óleo diesel3;2010;41429263,32
Energético;QAV;2010;4664552
Energético;Querosene iluminante;2010;25456,817
Energético;Outros4;2010;262334
Não energético;Asfalto;2010;2767281,209
Não energético;Coque5;2010;3056971,133
Não energético;Nafta6;2010;7355760,98
Não energético;Óleo lubrificante ;2010;603154
Não energético;Parafina;2010;94195,97813
Não energético;Solvente;2010;508704,9346
Não energético;Outros7;2010;2931895,191
Energético;Gasolina A ;2011;24886352,35
Energético;Gasolina de aviação;2011;80166
Energético;GLP1;2011;9968351,624
Energético;Óleo combustível2,3;2011;13208484,06
Energético;Óleo diesel3;2011;43388313,48
Energético;QAV;2011;5395177
Energético;Querosene iluminante;2011;24096,196
Energético;Outros4;2011;446096
Não energético;Asfalto;2011;2464544,007
Não energético;Coque5;2011;3756283,856
Não energético;Nafta6;2011;6344073,502
Não energético;Óleo lubrificante ;2011;580690,809
Não energético;Parafina;2011;100290,6805
Não energético;Solvente;2011;406707,702
Não energético;Outros7;2011;3372293,782
Energético;Gasolina A ;2012;27061074,97
Energético;Gasolina de aviação;2012;77606
Energético;GLP1;2012;10361615,86
Energético;Óleo combustível2,3;2012;13691083,76
Energético;Óleo diesel3;2012;45504004,19
Energético;QAV;2012;5422769
Energético;Querosene iluminante;2012;23884,585
Energético;Outros4;2012;386345
