Naive Bayes,Árvore,Random Forest,Regras,kNN,Logística,SVM,RNA
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,4,2.5,#N/D,2.5,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,4,2.5,#N/D,2.5,7,5.5,5.5
1,4,2.5,#N/D,2.5,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,4,2.5,#N/D,2.5,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,4,2.5,#N/D,2.5,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
1,3,3,#N/D,3,7,5.5,5.5
